,Converted book data,,,,,,,,,,,Values,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Conversion key:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Converted values,,,,,,,,,,,,,,,
,,,,,,,,,,,,,D,,L,A,,,,,,,,,,,,
,,,,,,,,,,,,Book code,(m),,(m),(#),,,,,,,,,,,,
320.0,320.0,2,2,1,1,,1,1,O,,,0.2,7.5,0.2,1.5,0.35,,,,,,,,,,,,
,,3,2,1,1,1,,,L,,,0.5,7.5,1.5,1.5,2.21,,,,,,,,,,,,
330.0,330.0,3,2,1,2,1,,,"L, U",,,0.5,7.5,1.5,1.5,2.21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340.0,340.0,1,2,2,2,1,1,1,"L, U",,,0.1,7.5,0.0,2.5,0.06,,,,,,,,,,,,
,,2,2,3,2,1,2,1,"L,U",,,0.2,7.5,0.2,5.0,1.18,,,,,,,,,,,,
350.0,350.0,1,1,2,1,,1,1,U,,,0.1,3.0,0.0,2.5,0.02,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.0,360.0,1,1,2,1,,,,L,,,0.1,3.0,0.0,2.5,0.02,,,,,,,,,,,,
,,2,1,2,1,,,,L,,,0.2,3.0,0.1,2.5,0.24,,,,,,,,,,,,
370.0,370.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380.0,380.0,2,1,1,2,,1,1,U,,,0.2,3.0,0.1,1.5,0.14,,,,,,,,,,,,
390.0,390.0,2,1,2,2,,,,U,JF,,0.2,3.0,0.1,2.5,0.24,,,,,,,,,,,,
,,3,2,1,3,1,,,"L, U",JF,,0.5,7.5,1.5,1.5,2.21,,,,,,,,,,,,
,,1,1,3,2,,,,L,JF,,0.1,3.0,0.0,5.0,0.05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400.0,400.0,2,2,5,,,,,"L, U",JG,,0.2,7.5,0.2,15.0,3.53,,,,,,,,,,,,
,,2,3,5,,1,1,1,"L, U",JG,,0.2,12.5,0.4,15.0,5.89,,,,,,,,,,,,
,,3,3,3,,1,2,1,U,JG,,0.5,12.5,2.5,5.0,12.27,,,,,,,,,,,,
,,2,1,5,,,1,1,"L, U",JG,,0.2,3.0,0.1,15.0,1.41,,,,,,,,,,,,
,,1,1,5,,,,,L,JG,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,3,2,2,,,,,"L, P",JG,,0.5,7.5,1.5,2.5,3.68,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,420.0,2,1,3,,,1,1,U,,,0.2,3.0,0.1,5.0,0.47,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440.0,440.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1,2,2,,,1,U,,,0.2,3.0,0.1,2.5,0.24,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450.0,450.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460.0,460.0,2,1,1,3,,,,"U, L, P",,,0.2,3.0,0.1,1.5,0.14,,,,,,,,,,,,
470.0,470.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480.0,480.0,1,1,2,2,,,,,,,0.1,3.0,0.0,2.5,0.02,,,,,,,,,,,,
,,2,2,3,2,1,1,1,"U, L",,,0.2,7.5,0.2,5.0,1.18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490.0,490.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
500.0,500.0,1,2,1,1,1, , ,L,,,0.1,7.5,0.0,1.5,0.03,,,,,,,,,,,,
,,1,2,3,, ,2,1,,,,0.1,7.5,0.0,5.0,0.12,,,,,,,,,,,,
510.0,510.0,1,2,2,1,,2,1,,,,0.1,7.5,0.0,2.5,0.06,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520.0,520.0,2,1,3,2,,,,L,JH,,0.2,3.0,0.1,5.0,0.47,,,,,,,,,,,,
,,1,3,3,3,1,1,2,"L, U",JH,,0.1,12.5,0.0,5.0,0.19,,,,,,,,,,,,
,,2,3,4,3,1,1,2,"L, U",JH,,0.2,12.5,0.4,9.5,3.73,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540.0,540.0,2,3,1,2,,1,2,"L, U",,,0.2,12.5,0.4,1.5,0.59,,,,,,,,,,,,
550.0,550.0,1,1,2,1,,,,,,,0.1,3.0,0.0,2.5,0.02,,,,,,,,,,,,
,,2,5,1,1,1,,,"L, U",,,0.2,25.0,0.8,1.5,1.18,,,,,,,,,,,,
560.0,560.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
