"","hd","tot_vol","jam","jam_pa","reach","med_dia","med_len"
"60",630,6.61364352537407,"JI","jam",1,0.12497916551676,3.52290460657296
"61",640,0,"","no_jam",1,NA,NA
"62",650,1.63052950133651,"","no_jam",1,0.141206144131955,11.0301536013933
"63",660,2.02998642878745,"JJ","jam",1,0.107838916711664,2.93136154492901
"64",843,11.1442318844325,"JK","jam",2,0.100490160339615,4.63467082195897
"65",863,47.5059365775047,"JL","jam",2,0.0697553367190761,3.7902134675835
"66",878,3.09391528960537,"JL","jam",2,0.221703482598099,3.43406965121816
"67",903,5.66857267327562,"","no_jam",2,0.214375247010933,8.53188522628651
"68",923,5.80718516286805,"","no_jam",2,0.162817966634081,3.95108861944466
"69",943,9.14455719396314,"JM","jam",2,0.125496773555582,3.14107622210858
"70",963,13.3427716861022,"","no_jam",2,0.226165573312565,8.08040571984949
"71",983,9.07797779386578,"","no_jam",2,0.170368701424073,5.68837577602136
"72",1023,4.36385483179399,"JN","jam",2,0.0819055440318107,4.2155666970844
"73",1043,9.97679078300861,"","no_jam",3,0.241501322185068,10.0576861261913
"74",1063,0,"","no_jam",3,NA,NA
"75",1083,0.36654146743175,"","no_jam",3,0.228825210349831,3.57650420632047
"76",1103,1.81703056480618,"","no_jam",3,0.191658543314007,2.83317086525091
"77",1123,0.674598977108613,"","no_jam",3,0.251614983264335,4.03229966482704
"78",1163,0.267696996288582,"","no_jam",3,0.142656836364859,1.85313672580241
"79",1183,0,"","no_jam",3,NA,NA
"80",1203,0.111133894725755,"","no_jam",3,0.0738235974364045,3.9529438964353
"81",1223,0.159061977832325,"","no_jam",3,0.173316104354349,2.46632208588348
"82",1243,0.407070733710385,"","no_jam",3,0.243607761995192,3.87215523936811
"83",1263,0.191471624976094,"","no_jam",3,0.0773493236855799,4.09397294653982
"84",1283,0,"","no_jam",3,NA,NA
"85",1303,0,"","no_jam",3,NA,NA
"86",1316,0,"","no_jam",3,NA,NA
"87",1323,1.29202502364874,"","no_jam",3,0.0635102016168466,8.17551007905433
"88",1343,0.370764267421773,"","no_jam",3,0.141789915841015,11.0447478941269
"89",1363,3.8817704107852,"","no_jam",3,0.182601110975284,6.94170141947984
"90",1383,0.0981499672844255,"","no_jam",3,0.065406793763064,8.27033968645813
"91",1403,8.04699730314882,"JO","jam",3,0.0551175066485929,3.2047002641933
"92",1423,0.854527573702896,"","no_jam",3,0.554219546391753,3.54219546358952
"93",1443,15.9443436648266,"","no_jam",3,0.205228355201781,7.37121742922482
"94",1463,1.82249856675675,"JP","jam",3,0.35699265918385,7.59357833832193
"95",1483,2.33391068083513,"","no_jam",3,0.24796096924966,11.6271962476405
"96",1503,0,"","no_jam",3,NA,NA
"97",1513,12.4121220980067,"JQ","jam",3,0.196563504245628,2.93127008392991
"98",1543,6.41620201868688,"JQ","jam",3,0.220455903529846,3.40911806984125
"99",1563,0,"","no_jam",3,NA,NA
"100",1583,0.0760435090048802,"","no_jam",3,0.0743853058805722,3.97541223422392
"101",1603,26.4961949689665,"JR","jam",3,0.15079768158505,3.62517078503678
"102",1623,0,"JR","jam",3,NA,NA
"103",1663,0.0220334773980631,"","no_jam",3,0.131328703919942,1.62657407679647
"104",1683,0.10456018570933,"","no_jam",3,0.166634008192085,2.33268016257472
"105",1703,3.80907140248948,"","no_jam",3,0.439839735785347,25.0691904199263
"106",1723,0,"","no_jam",3,NA,NA
"107",1743,3.96024363770238,"JS","jam",3,0.0958145375405383,2.83279792504215
"108",1763,0.282279716701549,"","no_jam",3,0.216033540917634,3.320670817555
"109",1783,0.0631214203690305,"","no_jam",3,0.0322974551680452,2.29189820408141
"110",1803,4.0767467916853,"","no_jam",3,0.0608358289041111,3.43343315463704
"111",1823,1.15787941046943,"","no_jam",3,0.278838751033285,9.47096877557818
"112",1843,0,"","no_jam",3,NA,NA
"113",1863,4.00168384192579,"","no_jam",3,0.213857850754864,12.7165183093623
"114",1883,0,"","no_jam",3,NA,NA
"115",1903,0,"","no_jam",3,NA,NA
"116",1943,0.00163769376034502,"","no_jam",3,0.0227794310384569,1.91117723852667
"117",1963,0.854434561159766,"","no_jam",3,0.232541188584842,3.22516520139542
"118",1983,63.1072711012247,"JT","jam",3,0.138973670021119,4.90683039743686
"119",2003,14.0959666520118,"","no_jam",3,0.108146674884071,5.19683975323528
"120",2023,18.2439815652922,"JU","jam",3,0.2255160057824,5.74138881705371
"121",2043,0.570033058687232,"","no_jam",4,0.134858057753798,5.87145144186323
"122",2063,4.27080330340745,"JV","jam",4,0.075556929236041,2.96231785933925
"123",2083,0.0262733627596987,"","no_jam",4,0.0396311693846439,2.58524677303137
"124",2103,0.734378074665361,"","no_jam",4,0.182785346440905,2.65570692770456
"125",2123,0.270306552955264,"","no_jam",4,0.14083137296648,8.52078432225199
"126",2143,0.106869039001882,"","no_jam",4,0.064498702169507,3.57994808539573
"127",2163,22.3980163133286,"JW","jam",4,0.218161986250371,8.46635907775064
"128",2183,0.245445883890092,"","no_jam",4,0.120584322741556,21.4923633923487
"129",2203,5.67846514121848,"","no_jam",4,0.233881575973236,11.8294356216845
"130",2223,0,"","no_jam",4,NA,NA
"131",2243,10.1731436169268,"JX","jam",4,0.238332632261428,8.81158474194866
"132",2263,0,"","no_jam",4,NA,NA
"133",2283,81.5690324294203,"JY","jam",4,0.251299410221303,13.4801478946187
"134",2303,0.973718601730725,"","no_jam",4,0.225758247533681,3.51516494996833
"135",2323,4.03554621387368,"JZ","jam",4,0.0903109089568291,4.61243635789529
"136",2343,0.0148756067229568,"","no_jam",4,0.0312511006824845,2.25004402461817
"137",2363,2.12005960369829,"","no_jam",4,0.284413961748004,33.3700122261728
"138",2383,4.37303531668471,"J2A","jam",4,0.229823526216369,3.84916852790014
"139",2403,2.70312066529842,"","no_jam",4,0.0893478720089771,12.5092482148236
"140",2423,8.18015560319187,"","no_jam",4,0.254369409754405,7.61041310713896
"141",2443,2.40131225085507,"","no_jam",4,0.229380661517301,3.7996128704699
"142",2463,0.0878762271396993,"","no_jam",4,0.0275092509601604,11.375462544456
"143",2483,5.48350237695124,"J2B","jam",4,0.0677260857863853,3.13961787666188
